schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,5A,0x0100,256,,,0x909DA850,8,9,2,1,4,36,45,21,17,,-15,-19,1120,50,0,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,5B,0x0101,257,,,0x909DAB84,13,15,3,4,4,34,49,24,21,,-10,-13,2560,100,2,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,5C,0x0102,258,,,0x909DB328,19,24,6,4,4,34,58,21,15,,-13,-19,3280,150,2,,0,engine_default_hit_level,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,2A,0x0103,259,,,0x909DBA74,12,16,5,1,4,23,39,21,17,,-2,-6,1840,50,1,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,2B,0x0104,260,,,0x909DC1E0,15,17,3,3,4,29,46,24,21,,-5,-8,2880,100,3,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,2C,0x0105,261,,,0x909DCB04,19,20,2,8,8,35,55,21,15,,-14,-20,2160,150,2,,0,engine_default_hit_level,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,6C,0x0106,262,,,0x909DD408,21,24,4,8,8,0,15,27,25,,27,25,1680,150,2,,0,owned_direct_override,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,3C,0x0108,264,,,0x909DDF7C,17,22,6,7,7,31,53,21,15,,-10,-16,3200,150,1,,0,engine_default_hit_level,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,j.A,0x0109,265,,,0x909DE348,10,12,3,7,7,43,55,12,9,,-31,-34,1120,50,1,,0,engine_default_hit_level,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,3,Tekkaman,id_03_tekkaman,P2-C2,2026-07-04T13:54:39Z,normal,saved full action profile,j.B,0x010A,266,,,0x909DECE8,12,15,4,,,58,73,17,12,,-41,-46,2320,100,1,,0,engine_default_hit_level,,,,mot_derived,,,,saved full action profile,0x909C27A0,,,3|id_03_tekkaman|normal|action:010A|||j.B
