schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,5A,0x0100,256,,,0x908FF638,8,8,1,1,4,24,32,12,9,0,-12,-15,1200,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,5B,0x0101,257,,,0x908FFABC,11,13,3,1,4,27,40,17,12,0,-10,-15,2140,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,5C,0x0102,258,,,0x908FFE00,18,20,3,7,7,35,55,17,12,0,-18,-23,3380,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,2A,0x0103,259,,,0x9090018C,8,8,1,1,4,17,25,12,9,0,-5,-8,1120,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,2B,0x0104,260,,,0x909005E0,10,11,2,1,4,19,30,17,12,0,-2,-7,2200,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,2C,0x0105,261,,,0x90900924,14,15,2,,,38,53,21,15,0,-17,-23,3340,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,6C,0x0106,262,,,0x90900C60,14,16,3,,,25,41,21,15,0,-4,-10,3880,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,3C,0x0108,264,,,0x90901014,16,21,6,,,39,60,21,15,0,-18,-24,3200,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,j.A,0x0109,265,,,0x909012F0,6,13,8,,,23,36,12,9,0,-11,-14,1120,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,16,Alex,id_16_alex,P2-C1,2026-07-13T13:52:24Z,normal,saved full action profile,j.B,0x010A,266,,,0x90901734,8,12,5,,,26,38,17,12,0,-9,-14,2080,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x908E6F40,,,16|id_16_alex|normal|action:010A|||j.B
