schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,5A,0x0100,256,,,0x908AF77C,6,7,2,2,4,15,22,12,9,0,-3,-6,750,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,5B,0x0101,257,,,0x908AFA48,8,10,3,2,4,20,30,17,12,0,-3,-8,1140,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,5C,0x0102,258,,,0x908AFE38,13,13,1,2,4,27,40,21,15,0,-6,-12,750,150,3,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,2A,0x0103,259,,,0x908B05B8,5,7,3,1,4,13,20,12,9,0,-1,-4,650,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,2B,0x0104,260,,,0x908B09A8,9,11,3,1,4,23,34,17,12,0,-6,-11,1200,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,2C,0x0105,261,,,0x908B0E2C,15,19,5,1,4,24,43,21,15,0,-3,-9,2200,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,6C,0x0106,262,,,0x908B127C,15,22,8,4,4,21,43,21,15,0,0,-6,900,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,3C,0x0108,264,,,0x908B1730,15,19,5,,,21,40,21,15,0,0,-6,2400,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,j.A,0x0109,265,,,0x908B1B38,6,13,8,,,15,28,12,9,0,-3,-6,800,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,29,Zero,id_29_zero,P1-C1,2026-07-13T14:52:42Z,normal,saved full action profile,j.B,0x010A,266,,,0x908B1F7C,8,11,4,,,22,33,17,12,0,-5,-10,1200,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,29|id_29_zero|normal|action:010A|||j.B
