schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,5A,0x0100,256,,,0x9091E690,7,8,2,1,4,14,22,12,9,0,-2,-5,920,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,5B,0x0101,257,,,0x9091EB6C,10,11,2,3,4,19,30,17,12,0,-2,-7,1480,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,5C,0x0102,258,,,0x9091EFA0,15,16,2,1,4,24,40,21,15,0,-3,-9,2500,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,2A,0x0103,259,,,0x9091F5AC,6,7,2,1,4,13,20,12,9,0,-1,-4,720,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,2B,0x0104,260,,,0x9091FA68,10,10,1,1,4,22,32,17,12,0,-5,-10,700,50,2,,0,,,,,mot_derived,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,2C,0x0105,261,,,0x909201F4,11,11,1,1,4,34,45,17,12,0,-17,-22,700,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,6C,0x0106,262,,,0x90920618,13,16,4,2,4,,,21,15,0,-23,-29,2820,150,0,,0,,,,,,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,3C,0x0108,264,,,0x90920640,13,16,4,2,4,20,36,21,15,0,1,-5,2820,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,j.A,0x0109,265,,,0x90920CFC,5,13,9,2,4,22,35,12,9,0,-10,-13,740,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,27,Joe the Condor,id_27_joe_the_condor,P2-C1,2026-07-13T18:12:05Z,normal,saved full action profile,j.B,0x010A,266,,,0x909210F8,7,10,4,,,29,39,17,12,0,-12,-17,1360,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90905DA0,,,27|id_27_joe_the_condor|normal|action:010A|||j.B
