schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,5A,0x0100,256,,,0x90966994,5,7,3,1,4,19,26,17,12,0,-2,-7,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,5B,0x0101,257,,,0x90966E74,8,9,2,1,4,27,36,23,17,0,-4,-10,1280,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,5C,0x0102,258,,,0x9096720C,17,20,4,1,4,30,50,27,24,0,-3,-6,2560,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,2A,0x0103,259,,,0x909675AC,6,8,3,1,4,18,26,17,12,0,-1,-6,640,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,2B,0x0104,260,,,0x90967A14,9,12,4,1,4,25,37,23,17,0,-2,-8,1280,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,2C,0x0105,261,,,0x90967DAC,14,18,5,1,4,34,52,21,23,0,-13,-11,2480,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,6C,0x0106,262,,,0x90968184,10,11,2,1,4,29,40,21,15,0,-8,-14,1200,150,2,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,3C,0x0108,264,,,0x909681AC,10,11,2,1,4,38,49,21,15,0,-17,-23,1200,150,2,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,j.A,0x0109,265,,,0x90968790,5,14,10,,,26,40,12,9,0,-14,-17,720,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,6,Doronjo,id_06_doronjo,P1-C2,2026-07-14T01:40:56Z,normal,saved full action profile,j.B,0x010A,266,,,0x90968BC8,9,13,5,,,31,44,17,12,0,-14,-19,1280,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x9094DE60,,,6|id_06_doronjo|normal|action:010A|||j.B
