schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,5A,0x0100,256,,,0x908AF238,4,5,2,2,4,15,20,12,9,0,-3,-6,720,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,5B,0x0101,257,,,0x908AF74C,6,9,4,2,4,18,27,17,12,0,-1,-6,880,100,2,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,5C,0x0102,258,,,0x908AFE74,12,17,6,2,4,22,39,21,15,0,-1,-7,2800,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,2A,0x0103,259,,,0x908B034C,5,8,4,1,4,10,18,12,9,0,2,-1,640,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,2B,0x0104,260,,,0x908B0878,7,9,3,2,4,21,30,17,12,0,-4,-9,1360,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,2C,0x0105,261,,,0x908B0C28,12,14,3,8,8,31,45,21,15,0,-10,-16,2240,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,6C,0x0106,262,,,0x908B1224,17,18,2,14,14,38,56,21,15,0,-17,-23,2400,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,3C,0x0108,264,,,0x908B124C,17,18,2,14,14,30,48,21,15,0,-9,-15,2400,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,j.A,0x0109,265,,,0x908B16E4,5,16,12,14,14,14,30,7,9,0,-7,-5,640,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,j.B,0x010A,266,,,0x908B1B80,7,11,5,,,25,36,8,12,0,-17,-13,1120,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:010A|||j.B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,j.C,0x010B,267,,,0x908B1FD4,11,18,8,15,15,19,37,8,15,0,-11,-4,2240,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:010B|||j.C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,19,Roll,id_19_roll,P1-C1,2026-07-14T01:32:24Z,normal,saved full action profile,6B,0x010E,270,,,0x908B2554,20,24,5,15,15,43,67,17,12,0,-26,-31,1840,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,19|id_19_roll|normal|action:010E|||6B
