schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,5A,0x0100,256,,,0x908AF0C4,8,8,1,,,14,22,12,9,0,-2,-5,1040,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,5B,0x0101,257,,,0x908AF5B4,10,10,1,3,4,29,39,17,12,0,-12,-17,1920,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,5C,0x0102,258,,,0x908AF9DC,16,16,1,1,4,32,48,21,15,0,-11,-17,2160,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,2A,0x0103,259,,,0x908B0040,7,7,1,2,4,15,22,12,9,0,-3,-6,1040,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,2B,0x0104,260,,,0x908B04CC,9,10,2,1,4,30,40,17,12,0,-13,-18,1920,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,2C,0x0105,261,,,0x908B091C,10,12,3,1,4,36,48,21,15,0,-15,-21,3200,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,6C,0x0106,262,,,0x908B0DD8,13,16,4,1,4,29,45,21,15,0,-8,-14,2720,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,3C,0x0108,264,,,0x908B0E00,13,16,4,1,4,32,48,21,15,0,-11,-17,2720,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,j.A,0x0109,265,,,0x908B1268,8,13,6,,,19,32,12,9,0,-7,-10,880,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,j.B,0x010A,266,,,0x908B16AC,10,11,2,,,26,37,17,12,0,-9,-14,1760,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:010A|||j.B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,j.C,0x010B,267,,,0x908B1B28,13,16,4,6,6,19,35,21,15,0,2,-4,3200,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:010B|||j.C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,2,Casshan,id_02_casshan,P1-C1,2026-07-05T14:45:36Z,normal,saved full action profile,6B,0x010E,270,,,0x908B1F3C,13,17,5,6,6,4,21,21,15,0,17,11,2400,100,0,,0,,,,,mot_derived,,,,saved full action profile,0x90896640,,,2|id_02_casshan|normal|action:010E|||6B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,2,Casshan,id_02_casshan,P2-C1,2026-07-04T13:54:39Z,special,saved full action profile,anim_--,,,,,0x909137EC,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x90900A80,,,2|id_02_casshan|special|raw:addr:909137EC|||anim_--
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Partial scanner row; active-window data is missing or unresolved.,2,Casshan,id_02_casshan,P2-C1,2026-07-04T13:54:39Z,special,saved full action profile,anim_--,,,,,0x90913A20,,,,,,,,,,,-12,-12,1000,200,0,,0,,,,,,,,,saved full action profile,0x90900A80,,,2|id_02_casshan|special|raw:addr:90913A20|||anim_--
