timestamp_utc,gui_frame,team,meter_before,meter_after,meter_delta,bar_delta,event_kind,source_role,source_slot,source_char_id,source_name,source_action_id,source_action_name,source_action_frame,victim_slot,victim_char_id,victim_name,base_damage,property_a,property_b,victim_damage_multiplier,baroque_active,fighter_status_58,meter_flags_7c,meter_flags_80,zero_state_4604,soki_state_45fc,predicted_shared_pool,predicted_request,predicted_final_delta,prediction_difference,prediction_match,prediction_confidence,hp_loss_p1,hp_loss_p2,notes
2026-07-25T16:55:38Z,63,P1,0,10000,10000,1.0,gain,unknown,,0,,0,,0,,0,,0,,,1.0,False,0x00000000,0x00000000,0x00000000,1,0,,,,,,none,0,0,positive delta had no recent attributable attack packet
2026-07-25T16:55:38Z,63,P2,0,10000,10000,1.0,gain,unknown,,0,,0,,0,,0,,0,,,1.0,False,0x00000000,0x00000000,0x00000000,1,0,,,,,,none,0,0,positive delta had no recent attributable attack packet
2026-07-25T16:55:48Z,117,P1,10000,10370,370,0.037,gain,unknown,P1-C1,12,Ryu,256,5A,0,,0,,0,,,1.0,False,0x40400001,0x00000000,0x00000000,0,0,,,,,,none,0,0,positive delta had no recent attributable attack packet
2026-07-25T16:55:48Z,117,P2,10000,10276,276,0.0276,gain,unknown,P2-C1,1,Ken the Eagle,1,idle,0,,0,,0,,,1.0,False,0x00000001,0x00000000,0x00000000,0,0,,,,,,none,0,0,positive delta had no recent attributable attack packet
2026-07-25T16:55:48Z,118,P1,10370,10435,65,0.0065,gain,attacker,P1-C1,12,Ryu,256,5A,0,P2-C1,1,Ken the Eagle,0,,,1.0,False,0x40400001,0x00000000,0x00000000,0,0,,,,,,none,0,800,positive delta had no recent attributable attack packet
2026-07-25T16:55:49Z,126,P1,10435,10695,260,0.026,gain,unknown,P1-C1,12,Ryu,309,Tatsu H,0,,0,,0,,,1.0,False,0x01400001,0x00000000,0x00000000,0,0,,,,,,none,0,0,positive delta had no recent attributable attack packet
2026-07-25T16:55:50Z,128,P1,10695,11436,741,0.0741,gain,attacker,P1-C1,12,Ryu,309,Tatsu H,0,P2-C1,1,Ken the Eagle,0,,,1.0,False,0x01C00200,0x00000000,0x00000000,0,0,,,,,,none,0,1600,positive delta had no recent attributable attack packet
2026-07-25T16:55:50Z,128,P2,10276,10831,555,0.0555,gain,victim,P1-C1,12,Ryu,309,Tatsu H,0,P2-C1,1,Ken the Eagle,0,,,1.0,False,0x01C00200,0x00000000,0x00000000,0,0,,,,,,none,0,1600,positive delta had no recent attributable attack packet
2026-07-25T16:55:50Z,131,P1,11436,12180,744,0.0744,gain,attacker,P1-C1,12,Ryu,309,Tatsu H,0,P2-C1,1,Ken the Eagle,0,,,1.0,False,0x01C00200,0x00000000,0x00000000,0,0,,,,,,none,0,1610,positive delta had no recent attributable attack packet
2026-07-25T16:55:50Z,131,P2,10831,11388,557,0.0557,gain,victim,P1-C1,12,Ryu,309,Tatsu H,0,P2-C1,1,Ken the Eagle,0,,,1.0,False,0x01C00200,0x00000000,0x00000000,0,0,,,,,,none,0,1610,positive delta had no recent attributable attack packet
